Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Airspeed (m/s),Airspeed Pressure (Pa),Electrical forward flight efficiency (%),Vibration (g),App message,
637.5644631199985,1873,,,,0.05859375,-0.00390625,-1.01171875,,0.5369889266707385,9.819888816039558,10.865557072695221,9679,0,106.52031200868981,,85.36716599608158,,,1.917666534366112,-2.199148453888135,9.483638629721728,1.015625,,
637.6631881199926,1873,,,,0.037109375,-0.04296875,-0.95703125,-0.08917351556838563,,9.816114155315194,10.86514288047881,9676,0,106.48552660138142,90.35814707223555,84.85486239879604,0.005942894404878071,0.0050428348697650355,1.9535650130498652,-2.282254688205846,9.664327158565792,1.013671875,,
637.7602381199896,1873,,,,0.064453125,0.00390625,-1.0390625,-0.08853476916649997,0.5364213471127715,9.813508963886342,10.858874486022433,9673,0,106.39896723703399,89.67730033865826,84.2839951057763,0.00598168483091066,0.005041602950127704,2.032716283658111,-2.470938317034431,10.053433592626552,1.017578125,,
637.8628881199955,1873,,,,0.1015625,0,-1.033203125,,0.536298336787736,9.81184797254236,10.85414856798593,9671,0,106.35829905537612,,84.30049050149859,,,2.0999160943096444,-2.6370129162238456,10.387379921619269,1.0234375,,
637.9588381199985,1873,,,,0.013671875,-0.0546875,-0.98828125,-0.08798543736984184,,9.81076662383352,10.840391616762481,9672,0,106.21286013125541,89.11871509087223,83.90576713661733,0.006017797005274205,0.0050492787419997055,2.0053487425381125,-2.404851113194688,9.933179045249656,1.044921875,,
638.0468681199998,1873,,,,0.021484375,0.046875,-1.02734375,-0.08788393497790359,0.5388969558848599,9.809661853984231,10.841908392906529,9667,0,106.2144170301599,88.97074527044481,83.76522487072664,0.006057012945623555,0.005073670514350594,1.9784092754550187,-2.3406725052778867,9.847078666876168,1.044921875,,
638.1612631199956,1873,,,,0.12109375,-0.017578125,-0.884765625,,0.5394280594668303,9.808193216847254,10.834544831076645,9668,0,106.11888051506943,,83.84249661299557,,,1.9553564334513176,-2.286442292621011,9.750700469488077,1.060546875,,
638.2448681199998,1873,,,,0,-0.041015625,-1.05859375,-0.0895296287104829,,9.806891927292895,10.819852395689423,9668,0,105.9842810514771,90.64275947053429,85.52471986530593,0.005951143396535549,0.00508969871866968,1.8090307267331263,-1.957042527973151,9.032480365821808,1.0703125,,
638.341198119998,1873,,,,0.171875,-0.060546875,-1.10546875,,0.5409120885903399,9.802991099530637,10.8277495997425,9663,0,106.01736456485469,,85.45371816727926,,,1.9058851468187035,-2.172210095751886,9.539276037824386,1.09375,,
638.4279181199968,1873,,,,0.0625,-0.06640625,-0.892578125,-0.08977750769812468,0.5388754660860269,9.802345310012901,10.844183960394773,9656,0,106.16742478391515,90.78505872225446,85.51121863135633,0.005935728562280815,0.005075713828255811,1.986998289011684,-2.3610401025522307,9.893811433104354,1.087890625,,
